1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 80, 4, 4
2, ocean, minecraft:ocean, MONSTER, minecraft:zombie, 80, 4, 4
3, ocean, minecraft:ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, ocean, minecraft:ocean, MONSTER, minecraft:skeleton, 80, 4, 4
5, ocean, minecraft:ocean, MONSTER, minecraft:creeper, 80, 4, 4
6, ocean, minecraft:ocean, MONSTER, minecraft:slime, 80, 4, 4
7, ocean, minecraft:ocean, MONSTER, minecraft:enderman, 10, 1, 4
8, ocean, minecraft:ocean, MONSTER, minecraft:witch, 5, 1, 1
9, ocean, minecraft:ocean, MONSTER, minecraft:drowned, 20, 1, 2
10, ocean, minecraft:ocean, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
11, ocean, minecraft:ocean, MONSTER, minecraft:stray, 80, 4, 4
12, ocean, minecraft:ocean, MONSTER, eidolon:wraith, 80, 1, 2
13, ocean, minecraft:ocean, MONSTER, eidolon:zombie_brute, 20, 1, 2
14, ocean, minecraft:ocean, MONSTER, quark:stoneling, 80, 1, 1
15, ocean, minecraft:ocean, MONSTER, quark:toretoise, 80, 1, 1
16, ocean, minecraft:ocean, MONSTER, upgrade_aquatic:thrasher, 80, 1, 2
17, ocean, minecraft:ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
18, ocean, minecraft:ocean, AMBIENT, minecraft:bat, 10, 8, 8
19, ocean, minecraft:ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
20, ocean, minecraft:ocean, WATER_CREATURE, minecraft:dolphin, 5, 1, 2
21, ocean, minecraft:ocean, WATER_CREATURE, upgrade_aquatic:glow_squid, 67, 1, 1
22, ocean, minecraft:ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
23, ocean, minecraft:ocean, WATER_AMBIENT, upgrade_aquatic:nautilus, 51, 1, 4
24, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
25, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
26, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
27, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
28, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
29, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
30, plains, minecraft:plains, MONSTER, minecraft:enderman, 10, 1, 4
31, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
32, plains, minecraft:plains, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
33, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
34, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
35, plains, minecraft:plains, MONSTER, minecraft:stray, 80, 4, 4
36, plains, minecraft:plains, MONSTER, eidolon:wraith, 80, 1, 2
37, plains, minecraft:plains, MONSTER, eidolon:zombie_brute, 20, 1, 2
38, plains, minecraft:plains, MONSTER, quark:stoneling, 80, 1, 1
39, plains, minecraft:plains, MONSTER, quark:toretoise, 80, 1, 1
40, plains, minecraft:plains, CREATURE, frozenup:chilloo, 5, 2, 3
41, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
42, plains, minecraft:plains, CREATURE, snowpig:snow_pig, 5, 4, 4
43, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
44, plains, minecraft:plains, CREATURE, minecraft:cow, 8, 4, 4
45, plains, minecraft:plains, CREATURE, minecraft:horse, 5, 2, 6
46, plains, minecraft:plains, CREATURE, minecraft:donkey, 5, 1, 3
47, plains, minecraft:plains, CREATURE, minecraft:polar_bear, 5, 1, 2
48, plains, minecraft:plains, CREATURE, snowpig:snow_pig, 10, 4, 4
49, plains, minecraft:plains, CREATURE, druidcraft:lunar_moth, 5, 2, 5
50, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
51, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 5, 5, 5
52, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 5, 5, 5
53, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
54, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
55, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 5, 1, 1
56, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
57, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
58, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
59, desert, minecraft:desert, MONSTER, minecraft:enderman, 10, 1, 4
60, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
61, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
62, desert, minecraft:desert, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
63, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 8, 1, 1
64, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
65, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 8, 1, 1
66, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
67, desert, minecraft:desert, MONSTER, minecraft:stray, 80, 4, 4
68, desert, minecraft:desert, MONSTER, eidolon:wraith, 80, 1, 2
69, desert, minecraft:desert, MONSTER, eidolon:zombie_brute, 20, 1, 2
70, desert, minecraft:desert, MONSTER, quark:stoneling, 80, 1, 1
71, desert, minecraft:desert, MONSTER, quark:toretoise, 80, 1, 1
72, desert, minecraft:desert, CREATURE, frozenup:chilloo, 5, 2, 3
73, desert, minecraft:desert, CREATURE, minecraft:rabbit, 5, 2, 3
74, desert, minecraft:desert, CREATURE, minecraft:polar_bear, 5, 1, 2
75, desert, minecraft:desert, CREATURE, snowpig:snow_pig, 10, 4, 4
76, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
